_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment:confidence,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment:confidence,_created_at,orig__golden,orig__unit_id,_updated_at,orig_q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold_reason,orig_q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold_reason,w1,w2,w3,w4
802926368,true,golden,16,"",,,honored,1.0,#failure,0.7601,,true,,,,honored,,,"",,nasty,#failure,honored,females
802926369,true,golden,15,"",,,smiles,1.0,scary,0.8113,,true,,,,smiles,,,scary,,not attractive,smiles,scary,team
802926370,true,golden,14,"",,,sort,0.5155,rude,0.9258,,true,,,,,,,rude,,sort,cause,:|,rude
802926371,true,golden,12,"",,,easy,1.0,#lazy,0.9143,,true,,,,easy,,,"",,nonrandom,easy,don't freak,#lazy
802926372,true,golden,13,"",,,amazing,1.0,#myweakness,1.0,,true,,,,amazing,,,#myweakness,,timestamp,quote,#myweakness,amazing
802926373,true,golden,16,"",,,apprecaite,0.9331,not able,0.8292,,true,,,,apprecaite,,,not able,,no longer,not able,apprecaite,fly
802926374,true,golden,14,"",,,funny,0.7058,don't drink,0.9295,,true,,,,,,,don't drink,,d:,don't drink,sure,funny
802926375,true,golden,14,"",,,hilarious,1.0,rotten,1.0,,true,,,,hilarious,,,rotten,,not bad,hilarious,#sortitout,rotten
802926376,true,golden,12,"",,,#relaxing,0.8368,#needmoney,1.0,,true,,,,,,,#needmoney,,#relaxing,#based,truth,#needmoney
802926378,true,golden,15,"",,,phenomenal,0.6767,story,0.9414,,true,,,,,,,story,,phenomenal,dazzling,story,congratulations
802926380,true,golden,13,"",,,yummm,1.0,#feelshit,0.6097,,true,,,,yummm,,,"",,yummm,#disgrace,#feelshit,making
802926381,true,golden,15,"",,,;),0.4673,#disappointment,1.0,,true,,,,,,,#disappointment,,pleasantly,smexy,;),#disappointment
802926382,true,golden,15,"",,,home-cooked,0.9316,not cute,0.7292,,true,,,,home-cooked,,,"",,can't go,not cute,home-cooked,everytime
802926383,true,golden,22,"",,,said,0.4128,dick,0.9149,,true,,,,,,,dick,,dick,no wonder,no rain,said
802926384,true,golden,18,"",,,peace,0.9458,#poorly,0.7872,,true,,,,,,,#poorly,,not recommend,#poorly,poem,peace
802926385,true,golden,20,"",,,wow,0.7663,#fierce,0.5569,,true,,,,wow,,,"",,rhymed,song,wow,#fierce
802926386,true,golden,16,"",,,nicely,0.8181,#confused,1.0,,true,,,,nicely,,,#confused,,post,flirt,#confused,nicely
802926387,true,golden,20,"",,,amazzing,0.9528,#feelingsorryformyself,1.0,,true,,,,amazzing,,,#feelingsorryformyself,,don't tell,#feelingsorryformyself,don't forget,amazzing
802926388,true,golden,27,"",,,possibly,1.0,#nogood,0.4426,,true,,,,possibly,,,"",,#nogood,gutted,possibly,not nice
802926389,true,golden,12,"",,,marvelous,0.5056,#cough,1.0,,true,,,,,,,#cough,,#handsome,marvelous,yessss,#cough
802926390,true,golden,14,"",,,eating,0.6449,#pig,0.5826,,true,,,,,,,#pig,,eating,#pig,no hangover,excuse
802926391,true,golden,16,"",,,way,0.6398,ugh,0.9383,,true,,,,,,,ugh,,way,never hit,ugh,budget
802926392,true,golden,25,"",,,govt,0.7671,hates,0.7136,,true,,,,"#notfunny
govt","",,"","",#notfunny,govt,hates,worst
802926393,true,golden,15,"",,,fam,0.8687,scare,1.0,,true,,,,,,,scare,,fam,tweets,no lie,scare
802926394,true,golden,17,"",,,#angel,1.0,#sickening,0.9436,,true,,,,#angel,,,#sickening,,#sickening,site,#angel,#fake
802926395,true,golden,18,"",,,cant w8,0.7241,acting,0.5528,,true,,,,cant w8,,,"",,acting,cant w8,no drama,wash
802926396,true,golden,14,"",,,money,0.857,headache,1.0,,true,,,,,,,headache,,guy,money,customer,headache
802926397,true,golden,20,"",,,#fab,0.7216,unattractive,1.0,,true,,,,,,,unattractive,,faves,text,unattractive,#fab
802926398,true,golden,16,"",,,sleep,1.0,hatred,0.571,,true,,,,sleep,,,"",,hatred,#scary,sleep,#horrible
802926399,true,golden,14,"",,,yaay,0.9298,unmade,1.0,,true,,,,yaay,,,"",,yaay,unmade,tonight,lunch
802926401,true,golden,18,"",,,congratulation,1.0,ewwww,0.7295,,true,,,,congratulation,,,ewwww,,ewwww,no money,congratulation,don't accept
802926402,true,golden,20,"",,,weee,0.6135,#fedup,0.9545,,true,,,,weee,,,#fedup,,play,weee,#fedup,#studentproblems
802926403,true,golden,18,"",,,lovely,1.0,#hate,0.9447,,true,,,,lovely,,,#hate,,lovely,#stupid,#hate,support
802926404,true,golden,15,"",,,#innovation,0.9348,scum,0.94,,true,,,,#innovation,,,scum,,join,#innovation,hang,scum
802926406,true,golden,15,"",,,gracias,0.9468,#liars,1.0,,true,,,,gracias,,,#liars,,#liars,no boundaries,can't find,gracias
802926407,true,golden,15,"",,,nice,0.8065,#cringe,1.0,,true,,,,nice,,,#cringe,,#cringe,watch,nice,no worrys
802926408,true,golden,21,"",,,#goodsex,0.5232,disrespectful,0.9522,,true,,,,,,,disrespectful,,disrespectful,#goodsex,#fabulous'nis,work
802926409,true,golden,14,"",,,playing,0.5753,no prob,0.4369,,true,,,,wit,,,"",,wit,never hurts,no prob,playing
802926410,true,golden,21,"",,,excellence,0.9523,#spoiled,0.9613,,true,,,,,,,#spoiled,,excellence,#spoiled,cant wiat,coming
